iteration,n,median_CoV,p95_CoV,mean_CoV
LINEAR,100,0.30744051933288574,6.842568349838256,1.2009556293487549
T1_NL1,100,0.18492288887500763,4.919012546539307,0.7655753493309021
T1_NL2,100,0.14365926384925842,3.842148232,0.6441894769668579
T1_NL3,100,0.11758975684642792,3.224240994,0.5718032121658325
T1_NL4,100,0.098014146,2.8554795265197774,0.5144187211990356
T1_NL5,100,0.083796211,2.632813560962677,0.4710308909416199
