iteration,n,median_CoV,p95_CoV,mean_CoV
LINEAR,100,0.25499850511550903,7.035351514816276,1.2054537534713745
T2_NL1,100,0.1801440715789795,5.162821888923645,0.7809522747993469
T2_NL2,100,0.15753059089183807,3.8646848678588848,0.6512945890426636
T2_NL3,100,0.1413215696811676,3.0094377040862996,0.5665247440338135
T2_NL4,100,0.128628209,2.659339714050291,0.5186625719070435
T2_NL5,100,0.11815512925386429,2.531703901290893,0.4887460768222809
